filghtId,price
252589,69244
223754,52392
243398,61933
208360,53164
247226,42521
293881,44144
254119,62188
272356,49207
271143,62255
256513,37985
280517,38099
286704,41314
221505,23944
292252,57393
254481,51817
266397,50271
213686,42457
282816,56702
216999,27976
274827,44583
237058,57565
287014,51595
210751,22152
294642,44546
295147,44144
255546,60508
300091,51457
213499,32859
285694,51595
214495,54777
226834,39847
294232,60260
206714,40296
253983,70588
297017,55377
232832,54608
228135,41101
215334,54777
207110,35532
283659,63579
285868,51595
285969,41314
232727,54608
282548,38099
228805,53152
230151,92806
259378,43865
293856,80816
241966,49613
259523,59106
247711,42521
207950,59033
230717,62448
260006,60396
274052,55502
256725,56588
233290,62448
262935,43910
215340,57017
281752,38043
259565,44280
238338,45693
241698,61933
263978,54852
298922,40593
207641,29776
219201,45525
228314,34460
279718,45883
275120,47586
257529,37985
268484,52287
217942,67769
220487,39321
210836,53164
247552,42521
220190,39377
256596,56588
216092,92745
265553,56991
244272,61933
207415,79193
217687,75721
213799,52522
277220,47395
238985,17604
240913,76941
243025,61933
268580,60978
239089,53645
229911,34460
214406,54777
254166,60508
298553,41064
223486,45257
242991,49613
280800,38099
244130,64173
227303,51372
257776,63163
286770,51595
213075,63726
251314,54684
290182,38554
225496,39610
286220,58282
275602,51875
227221,59021
270553,53082
266241,31982
211632,53164
264978,56991
271811,52063
297453,54481
280530,56702
231164,62448
235766,49725
273583,55087
249000,54684
280465,44546
266101,50271
229732,41269
256102,56476
248751,59265
295423,60260
239381,45693
249821,67004
265749,50271
240409,45693
276839,39499
235936,49725
223829,57992
272208,49207
230807,62448
237909,64285
208997,41281
272141,52063
257494,56588
254014,51817
220913,51697
273911,55502
225327,53152
268297,52287
241443,53645
299714,41064
229302,41269
226974,50957
249848,76681
226459,51372
274891,47586
270697,52063
236976,62045
242868,49613
229376,22140
236928,36980
282808,56702
286224,58282
294717,43729
228270,53152
270309,54840
222119,45672
288310,53552
215866,37529
224022,57992
241743,49613
211711,44025
212032,69785
242966,61933
255763,60508
224748,57992
227105,53152
242248,72125
283104,53499
273718,55087
214077,57017
232763,66928
269037,52287
245219,42521
268650,79766
262171,53743
245123,32923
211395,53164
292240,49553
281741,38099
299973,51457
256694,37985
257535,37985
227310,53152
259949,60396
284224,74981
275417,24234
274431,55983
245053,42521
235541,57565
266711,62591
222335,53512
244613,61933
227607,42765
237152,62045
232695,69168
296971,55377
211108,29777
227526,53152
278084,58315
210427,28872
214377,49177
222639,27864
289036,27792
299444,51345
207330,36577
216768,65529
283919,51819
295680,44144
289302,57920
283556,51707
229985,59021
210508,53164
246424,42521
272326,52063
246323,65033
278669,59290
277904,60555
291549,23424
212670,32859
291500,49553
264663,50271
281562,38099
273036,40369
234129,55982
215660,57017
209131,50969
282766,56590
227740,53152
283258,51819
246117,50361
276490,47586
217211,75721
293064,64113
222588,45257
206910,41113
247201,32923
252691,54684
214135,50297
266525,45776
224978,70323
270344,52063
240796,45693
257913,37985
252723,67004
281993,56702
289521,53440
281093,38099
288124,53285
261293,29630
262454,53743
208109,41281
285452,45189
212974,54777
210109,36712
228341,41269
207396,53164
238269,45693
243814,49613
228094,30092
269516,60978
239713,60365
247779,35554
260881,44280
257244,56588
288469,45185
282777,38099
279119,51058
287484,79349
294510,43729
272679,55983
267198,62591
276311,39555
276894,43430
274119,55983
219509,23944
238500,50868
214816,54777
208883,40441
275017,54115
213714,54777
296413,54896
276576,39499
283639,51819
211072,53164
225759,59021
293989,44144
242562,49613
213867,42457
278423,64890
297309,57057
240170,17604
208444,41113
289305,57920
267725,52287
298407,51457
279687,72730
218648,27976
280819,38043
292584,61873
258847,56588
209763,34472
299060,58032
215522,35490
264070,50271
264311,59254
262984,28510
279004,60555
276943,39499
294959,60260
235284,57677
275832,24122
238752,60365
211644,59033
258066,56588
248599,50361
237179,69997
219580,44405
213672,32859
266589,31982
213833,62617
297434,55377
268761,60978
237375,49725
232772,69168
215655,54777
212663,32859
299357,79099
264588,50271
270485,52175
248651,79548
256695,37985
239393,58125
255224,60508
225053,57062
279350,66155
284703,20000
219239,23944
255723,51817
225734,51372
255233,60508
297067,55377
239681,45693
235736,72237
266908,56991
256108,56476
282933,56590
279658,52715
215996,53209
226446,47844
194059,10608
293162,49553
222185,52882
293665,55904
271448,49207
258828,37929
251263,69244
230188,62549
209283,59033
287156,41314
230161,105764
245796,50361
224208,48948
289849,45185
231761,54608
249692,54684
255537,51817
268699,60978
223857,27864
244902,75449
210242,41113
231525,66928
249759,87136
245647,54841
267740,60978
239186,60365
219562,24056
296362,54896
229945,41269
